category,image1,image2,dhash,avghash,phash,whash,nrmse,ssim
cat,cat.png,cat.png,0,0,0,0,0,0
cat,cat-hue.png,cat-hue.png,0,0,0,0,0,0
cat,cat-box.png,cat-box.png,0,0,0,0,0,0
cat,cat-wm-big.png,cat-wm-big.png,0,0,0,0,0,0
cat,cat-wm-small.png,cat-wm-small.png,0,0,0,0,0,0
cat,cat-clonestamp.png,cat-clonestamp.png,0,0,0,0,0,0
cityscape,cityscape.png,cityscape.png,0,0,0,0,0,0
cityscape,cityscape-wm-small.png,cityscape-wm-small.png,0,0,0,0,0,0
cityscape,cityscape-wm-big.png,cityscape-wm-big.png,0,0,0,0,0,0
cityscape,cityscape-no-cn-tower.png,cityscape-no-cn-tower.png,0,0,0,0,0,0
cityscape,cityscape-hue.png,cityscape-hue.png,0,0,0,0,0,0
cityscape,cityscape-clonestamp.png,cityscape-clonestamp.png,0,0,0,0,0,0
cityscape,cityscape-box.png,cityscape-box.png,0,0,0,0,0,0
cityscape,cityscape-crop-left.png,cityscape-crop-left.png,0,0,0,0,0,0
cityscape,cityscape-crop-right.png,cityscape-crop-right.png,0,0,0,0,0,0
nature-1,nature-1.png,nature-1.png,0,0,0,0,0,0
nature-1,nature-1-hue.png,nature-1-hue.png,0,0,0,0,0,0
nature-1,nature-1-box.png,nature-1-box.png,0,0,0,0,0,0
nature-1,nature-1-wm-big.png,nature-1-wm-big.png,0,0,0,0,0,0
nature-1,nature-1-wm-small.png,nature-1-wm-small.png,0,0,0,0,0,0
nature-1,nature-1-clonestamp.png,nature-1-clonestamp.png,0,0,0,0,0,0
nature-2,nature-2.png,nature-2.png,0,0,0,0,0,0
nature-2,nature-2-hue.png,nature-2-hue.png,0,0,0,0,0,0
nature-2,nature-2-box.png,nature-2-box.png,0,0,0,0,0,0
nature-2,nature-2-wm-big.png,nature-2-wm-big.png,0,0,0,0,0,0
nature-2,nature-2-wm-small.png,nature-2-wm-small.png,0,0,0,0,0,0
nature-2,nature-2-clonestamp.png,nature-2-clonestamp.png,0,0,0,0,0,0
nature-2,nature-2-wm-small.png,nature-2.png,0.004,0.008,0.023,0,0.016,0.004
nature-2,nature-2.png,nature-2-wm-small.png,0.004,0.008,0.023,0,0.016,0.004
cityscape,cityscape-wm-small.png,cityscape.png,0.008,0,0.023,0.023,0.024,0.004
cityscape,cityscape.png,cityscape-wm-small.png,0.008,0,0.023,0.023,0.024,0.004
nature-1,nature-1-wm-small.png,nature-1.png,0.012,0,0.047,0.039,0.039,0.005
nature-1,nature-1.png,nature-1-wm-small.png,0.012,0,0.047,0.039,0.039,0.005
cat,cat-wm-big.png,cat-wm-small.png,0.016,0.012,0.055,0.008,0.087,0.015
cat,cat-wm-small.png,cat-wm-big.png,0.016,0.012,0.055,0.008,0.088,0.015
cityscape,cityscape-wm-big.png,cityscape-wm-small.png,0.02,0.027,0.023,0.008,0.052,0.012
cityscape,cityscape-wm-big.png,cityscape.png,0.02,0.027,0.023,0.031,0.053,0.011
cityscape,cityscape-wm-small.png,cityscape-wm-big.png,0.02,0.027,0.023,0.008,0.052,0.012
cityscape,cityscape.png,cityscape-wm-big.png,0.02,0.027,0.023,0.031,0.053,0.011
nature-1,nature-1-wm-big.png,nature-1-wm-small.png,0.02,0,0.086,0.062,0.078,0.018
nature-1,nature-1-wm-small.png,nature-1-wm-big.png,0.02,0,0.086,0.062,0.078,0.018
nature-2,nature-2-wm-big.png,nature-2-wm-small.png,0.02,0.02,0.047,0,0.037,0.014
nature-2,nature-2-wm-small.png,nature-2-wm-big.png,0.02,0.02,0.047,0,0.038,0.014
cityscape,cityscape-no-cn-tower.png,cityscape.png,0.023,0,0.07,0,0.045,0.005
cityscape,cityscape.png,cityscape-no-cn-tower.png,0.023,0,0.07,0,0.045,0.005
nature-1,nature-1-wm-big.png,nature-1.png,0.023,0,0.102,0.102,0.079,0.017
nature-1,nature-1.png,nature-1-wm-big.png,0.023,0,0.102,0.102,0.08,0.017
nature-2,nature-2-wm-big.png,nature-2.png,0.023,0.027,0.039,0,0.038,0.012
nature-2,nature-2.png,nature-2-wm-big.png,0.023,0.027,0.039,0,0.038,0.012
cityscape,cityscape-clonestamp.png,cityscape.png,0.027,0.027,0.172,0.023,0.091,0.026
cityscape,cityscape.png,cityscape-clonestamp.png,0.027,0.027,0.172,0.023,0.09,0.026
cityscape,cityscape-no-cn-tower.png,cityscape-wm-small.png,0.031,0,0.062,0.023,0.051,0.009
cityscape,cityscape-wm-small.png,cityscape-no-cn-tower.png,0.031,0,0.062,0.023,0.051,0.009
cat,cat-hue.png,cat.png,0.035,0.027,0.047,0.047,0.321,0.157
cat,cat.png,cat-hue.png,0.035,0.027,0.047,0.047,0.317,0.157
cityscape,cityscape-clonestamp.png,cityscape-wm-small.png,0.035,0.027,0.164,0.039,0.094,0.03
cityscape,cityscape-wm-small.png,cityscape-clonestamp.png,0.035,0.027,0.164,0.039,0.093,0.03
nature-1,nature-1-hue.png,nature-1.png,0.035,0,0.039,0.055,0.132,0.105
nature-1,nature-1.png,nature-1-hue.png,0.035,0,0.039,0.055,0.132,0.105
cat,cat-clonestamp.png,cat.png,0.039,0.039,0.086,0.07,0.078,0.012
cat,cat-wm-big.png,cat.png,0.039,0.016,0.07,0.008,0.09,0.014
cat,cat-wm-small.png,cat.png,0.039,0.012,0.062,0,0.051,0.005
cat,cat.png,cat-clonestamp.png,0.039,0.039,0.086,0.07,0.078,0.012
cat,cat.png,cat-wm-big.png,0.039,0.016,0.07,0.008,0.09,0.014
cat,cat.png,cat-wm-small.png,0.039,0.012,0.062,0,0.051,0.005
nature-1,nature-1-hue.png,nature-1-wm-small.png,0.039,0,0.062,0.07,0.137,0.108
nature-1,nature-1-wm-small.png,nature-1-hue.png,0.039,0,0.062,0.07,0.137,0.108
cityscape,cityscape-no-cn-tower.png,cityscape-wm-big.png,0.043,0.027,0.07,0.031,0.069,0.015
cityscape,cityscape-wm-big.png,cityscape-no-cn-tower.png,0.043,0.027,0.07,0.031,0.069,0.015
cityscape,cityscape-clonestamp.png,cityscape-wm-big.png,0.047,0.055,0.172,0.047,0.105,0.037
cityscape,cityscape-hue.png,cityscape.png,0.047,0.035,0.062,0.023,0.191,0.097
cityscape,cityscape-wm-big.png,cityscape-clonestamp.png,0.047,0.055,0.172,0.047,0.104,0.037
cityscape,cityscape.png,cityscape-hue.png,0.047,0.035,0.062,0.023,0.192,0.097
nature-2,nature-2-hue.png,nature-2.png,0.047,0.016,0.047,0.008,0.165,0.087
nature-2,nature-2.png,nature-2-hue.png,0.047,0.016,0.047,0.008,0.163,0.087
cat,cat-box.png,cat.png,0.051,0.039,0.086,0.055,0.091,0.016
cat,cat.png,cat-box.png,0.051,0.039,0.086,0.055,0.09,0.016
cityscape,cityscape-box.png,cityscape.png,0.051,0.039,0.172,0.023,0.113,0.026
cityscape,cityscape-clonestamp.png,cityscape-no-cn-tower.png,0.051,0.027,0.164,0.023,0.096,0.028
cityscape,cityscape-no-cn-tower.png,cityscape-clonestamp.png,0.051,0.027,0.164,0.023,0.096,0.028
cityscape,cityscape.png,cityscape-box.png,0.051,0.039,0.172,0.023,0.112,0.026
nature-1,nature-1-hue.png,nature-1-wm-big.png,0.051,0,0.109,0.109,0.152,0.115
nature-1,nature-1-wm-big.png,nature-1-hue.png,0.051,0,0.109,0.109,0.151,0.115
nature-2,nature-2-hue.png,nature-2-wm-small.png,0.051,0.008,0.055,0.008,0.165,0.091
nature-2,nature-2-wm-small.png,nature-2-hue.png,0.051,0.008,0.055,0.008,0.164,0.091
cityscape,cityscape-hue.png,cityscape-wm-small.png,0.055,0.035,0.078,0.047,0.192,0.101
cityscape,cityscape-wm-small.png,cityscape-hue.png,0.055,0.035,0.078,0.047,0.193,0.101
cityscape,cityscape-box.png,cityscape-wm-small.png,0.059,0.039,0.172,0.023,0.116,0.03
cityscape,cityscape-wm-small.png,cityscape-box.png,0.059,0.039,0.172,0.023,0.114,0.03
cityscape,cityscape-box.png,cityscape-clonestamp.png,0.062,0.043,0.188,0.039,0.127,0.042
cityscape,cityscape-clonestamp.png,cityscape-box.png,0.062,0.043,0.188,0.039,0.126,0.042
cityscape,cityscape-hue.png,cityscape-no-cn-tower.png,0.062,0.035,0.094,0.023,0.194,0.101
cityscape,cityscape-no-cn-tower.png,cityscape-hue.png,0.062,0.035,0.094,0.023,0.195,0.101
nature-1,nature-1-box.png,nature-1.png,0.062,0.035,0.156,0.117,0.085,0.028
nature-1,nature-1.png,nature-1-box.png,0.062,0.035,0.156,0.117,0.085,0.028
cat,cat-box.png,cat-wm-small.png,0.066,0.027,0.109,0.055,0.104,0.021
cat,cat-wm-small.png,cat-box.png,0.066,0.027,0.109,0.055,0.103,0.021
cityscape,cityscape-hue.png,cityscape-wm-big.png,0.066,0.047,0.078,0.055,0.197,0.107
cityscape,cityscape-wm-big.png,cityscape-hue.png,0.066,0.047,0.078,0.055,0.198,0.107
nature-2,nature-2-box.png,nature-2.png,0.066,0.02,0.289,0.008,0.079,0.024
nature-2,nature-2.png,nature-2-box.png,0.066,0.02,0.289,0.008,0.079,0.024
cityscape,cityscape-box.png,cityscape-wm-big.png,0.07,0.066,0.18,0.031,0.125,0.037
cityscape,cityscape-wm-big.png,cityscape-box.png,0.07,0.066,0.18,0.031,0.123,0.037
nature-2,nature-2-box.png,nature-2-wm-small.png,0.07,0.027,0.281,0.008,0.081,0.028
nature-2,nature-2-hue.png,nature-2-wm-big.png,0.07,0.027,0.07,0.008,0.169,0.098
nature-2,nature-2-wm-big.png,nature-2-hue.png,0.07,0.027,0.07,0.008,0.167,0.098
nature-2,nature-2-wm-small.png,nature-2-box.png,0.07,0.027,0.281,0.008,0.081,0.028
cat,cat-box.png,cat-wm-big.png,0.074,0.039,0.125,0.055,0.128,0.03
cat,cat-clonestamp.png,cat-hue.png,0.074,0.059,0.086,0.094,0.319,0.158
cat,cat-hue.png,cat-clonestamp.png,0.074,0.059,0.086,0.094,0.322,0.158
cat,cat-hue.png,cat-wm-big.png,0.074,0.043,0.086,0.047,0.334,0.168
