"image1","image2"
"files/images/cat-box.png","files/images/cat-box.png"
"files/images/cat-box.png","files/images/cat-hue.png"
"files/images/cat-box.png","files/images/cat-sampler.png"
"files/images/cat-box.png","files/images/cat-wm-big.png"
"files/images/cat-box.png","files/images/cat-wm-small.png"
"files/images/cat-box.png","files/images/cat.png"
"files/images/cat-hue.png","files/images/cat-box.png"
"files/images/cat-hue.png","files/images/cat-hue.png"
"files/images/cat-hue.png","files/images/cat-sampler.png"
"files/images/cat-hue.png","files/images/cat-wm-big.png"
"files/images/cat-hue.png","files/images/cat-wm-small.png"
"files/images/cat-hue.png","files/images/cat.png"
"files/images/cat-sampler.png","files/images/cat-box.png"
"files/images/cat-sampler.png","files/images/cat-hue.png"
"files/images/cat-sampler.png","files/images/cat-sampler.png"
"files/images/cat-sampler.png","files/images/cat-wm-big.png"
"files/images/cat-sampler.png","files/images/cat-wm-small.png"
"files/images/cat-sampler.png","files/images/cat.png"
"files/images/cat-wm-big.png","files/images/cat-box.png"
"files/images/cat-wm-big.png","files/images/cat-hue.png"
"files/images/cat-wm-big.png","files/images/cat-sampler.png"
"files/images/cat-wm-big.png","files/images/cat-wm-big.png"
"files/images/cat-wm-big.png","files/images/cat-wm-small.png"
"files/images/cat-wm-big.png","files/images/cat.png"
"files/images/cat-wm-small.png","files/images/cat-box.png"
"files/images/cat-wm-small.png","files/images/cat-hue.png"
"files/images/cat-wm-small.png","files/images/cat-sampler.png"
"files/images/cat-wm-small.png","files/images/cat-wm-big.png"
"files/images/cat-wm-small.png","files/images/cat-wm-small.png"
"files/images/cat-wm-small.png","files/images/cat.png"
"files/images/cat.png","files/images/cat-box.png"
"files/images/cat.png","files/images/cat-hue.png"
"files/images/cat.png","files/images/cat-sampler.png"
"files/images/cat.png","files/images/cat-wm-big.png"
"files/images/cat.png","files/images/cat-wm-small.png"
